low, high, mean, std
0.0, 5.0, 1.9073649845952902, 2.81941153664864
5.0, 10.0, 0.8916413520543426, 4.134151764314492
10.0, 15.0, 0.5537775039728408, 5.06353633320042
15.0, 20.0, -0.14393386531204527, 7.278825580757957
20.0, 25.0, -0.46741389262334965, 9.723349051993472
25.0, 30.0, 0.19381244715524637, 12.782970819506794
30.0, 35.0, 2.8578666072117223, 16.25263990279659
35.0, 40.0, 5.7091668911470475, 16.242102696978545
40.0, 45.0, 5.721268594999785, 19.54423271574987
45.0, 50.0, 2.6394014092882805, 24.470741850812235
50.0, 55.0, 3.854018388740581, 27.624458483368066
55.0, 60.0, 3.536522200041287, 32.664489015326915
60.0, 65.0, 1.7754513796291078, 24.86410545694959
65.0, 70.0, -0.6991792635738366, 36.925582412992846
70.0, 75.0, -2.3146845111795034, 32.180113309128956
75.0, 80.0, 3.14140259185173, 31.76073865091194
80.0, 85.0, -3.476226436661381, 24.48979205099104
85.0, 90.0, 2.6266259643859615, 47.55040273056909
90.0, 95.0, -4.528839228000555, 42.10772929218322
95.0, 100.0, -6.169558045559344, 28.508276479468964
100.0, 110.0, -5.373410974952694, 49.76737109288347
110.0, 120.0, -8.743028684674158, 41.329869338135964
120.0, 130.0, -10.89966056033082, 40.23094657374533
130.0, 140.0, -4.838853164764965, 46.61071130381089
140.0, 150.0, -16.81339298615266, 58.25225482312468
150.0, 160.0, -15.775759263690194, 56.61253970980626
160.0, 170.0, -11.855357666416884, 57.32261828648133
170.0, 180.0, -15.996369526504973, 63.10594381674384
180.0, 190.0, -13.003330876712695, 61.01838594692626
190.0, 200.0, -0.9349855568627693, 70.35886703038184
200.0, 250.0, -9.076217866260889, 77.74021667868884
250.0, 300.0, -21.43197788617178, 75.83326371533393
300.0, 350.0, -34.630869037439304, 80.42369519244403
350.0, 400.0, -53.85971691692169, 62.49959526148934
400.0, 798.0, -113.12282395674495, 89.09245782163713
